"OBJECT_TYPE"	"OBJECT_NAME"	"DESC_OBJECT_NAME"
"PACKAGE"	"MD_META"	""
"PACKAGE"	"MIGRATION_TRANSFORMER"	""
"PACKAGE"	"MIGRATION"	""
"PACKAGE"	"MIGRATION_REPORT"	""
"VIEW"	"MGV_ALL_STORED_PROGRAMS"	""
"VIEW"	"MGV_ALL_TABLE_TRIGGERS"	""
"VIEW"	"MGV_ALL_VIEWS"	""
"VIEW"	"MGV_ALL_CONNECTIONS"	""
"VIEW"	"MGV_ALL_VIEW_TRIGGERS"	""
"VIEW"	"MGV_ALL_CATALOGS"	""
"VIEW"	"MGV_ALL_SCHEMA"	""
"VIEW"	"MGV_ALL_TABLES"	""
"VIEW"	"MGV_ALL_PARTITIONS"	""
"VIEW"	"MGV_ALL_CAPTURED_SQL"	""
"VIEW"	"MGV_ALL_CATALOG_DETAILS"	""
"VIEW"	"MGV_ALL_SCHEMA_DETAILS"	""
"VIEW"	"MGV_ALL_TABLES_DETAILS"	""
"VIEW"	"MGV_ALL_PROGRAMS_DETAILS"	""
"VIEW"	"MGV_ALL_VIEW_DETAILS"	""
"VIEW"	"MGV_ALL_COLUMN_DETAILS"	""
"VIEW"	"MGV_ALL_COLUMNDT_DETAILS"	""
"VIEW"	"MGV_ALL_CONSTRAINTS_DETAILS"	""
"VIEW"	"MGV_ALL_INDEX_DETAILS"	""
"VIEW"	"MGV_ALL_TRIGGER_DETAILS"	""
"VIEW"	"MGV_ALL_DETAILS"	""
"VIEW"	"MGV_DERIVED_DETAILS"	""
"VIEW"	"MGV_DERIVATIVES"	""
"VIEW"	"MGV_SCRATCH_DERIVATIVES"	""
"SEQUENCE"	"DBOBJECTID_SEQUENCE"	""
"TABLE"	"MD_CATALOGS"	"DATABASE"
"TABLE"	"MIGRLOG"	""
"TABLE"	"MD_GROUP_PRIVILEGES"	"GROUP PRIVILEGE"
"TABLE"	"MD_USER_PRIVILEGES"	"USER_PRIVILEGE"
"TABLE"	"MIGR_DATATYPE_TRANSFORM_MAP"	""
"TABLE"	"MIGR_DATATYPE_TRANSFORM_RULE"	""
"TABLE"	"MD_MIGR_PARAMETER"	"PARAMETER"
"TABLE"	"MD_MIGR_DEPENDENCY"	"DEPENDENCY"
"TABLE"	"MD_MIGR_WEAKDEP"	"DEPENDENCY"
"TABLE"	"MIGR_GENERATION_ORDER"	""
"TABLE"	"MD_CONSTRAINT_DETAILS"	"CONSTRAINT"
"TABLE"	"MD_CONSTRAINTS"	"CONSTRAINT"
"TABLE"	"MD_REPOVERSIONS"	""
"TABLE"	"MD_OTHER_OBJECTS"	""
"TABLE"	"MD_SYNONYMS"	"SYNONYM"
"TABLE"	"MIGRATION_RESERVED_WORDS"	""
"TABLE"	"MD_PACKAGES"	"PACKAGE"
"TABLE"	"MD_SEQUENCES"	"SEQUENCE"
"TABLE"	"MD_DERIVATIVES"	""
"TABLE"	"MD_ADDITIONAL_PROPERTIES"	""
"TABLE"	"MD_TABLESPACES"	"TABLESPACE"
"TABLE"	"MD_STORED_PROGRAMS"	"PROCEDURE"
"TABLE"	"MD_TRIGGERS"	"TRIGGER"
"TABLE"	"MD_USER_DEFINED_DATA_TYPES"	"UDT"
"TABLE"	"MD_PRIVILEGES"	"PRIVILEGE"
"TABLE"	"MD_GROUP_MEMBERS"	"GROUP MEMBER"
"TABLE"	"MD_GROUPS"	"GROUP"
"TABLE"	"MD_INDEX_DETAILS"	"INDEX"
"TABLE"	"MD_PROJECTS"	"PROJECT"
"TABLE"	"MD_CONNECTIONS"	"MODEL"
"TABLE"	"MD_USERS"	"USER"
"TABLE"	"MD_SCHEMAS"	"SCHEMA"
"TABLE"	"MD_TABLES"	"TABLE"
"TABLE"	"MD_VIEWS"	"VIEW"
"TABLE"	"MD_INDEXES"	"INDEX"
"TABLE"	"MD_COLUMNS"	"COLUMN"
"TABLE"	"MD_PARTITIONS"	"PARTITION"
"TABLE"	"MD_APPLICATIONS"	"TABLE"
"TABLE"	"MD_APPLICATIONFILES"	"TABLE"
"TABLE"	"MD_FILE_ARTIFACTS"	"TABLE"
"TABLE"	"MD_NUMROW$SOURCE"	"NUMROW$SOURCE"
"TABLE"	"MD_NUMROW$TARGET"	"NUMROW$TARGET"
"TABLE"	"SYB12_SYSDATABASES"	""
"TABLE"	"SYB12_SYSUSERS"	""
"TABLE"	"SYB12_SYSOBJECTS"	""
"TABLE"	"SYB12_SYSCOLUMNS"	""
"TABLE"	"SYB12_SYSTYPES"	""
"TABLE"	"SYB12_SYSCOMMENTS"	""
"TABLE"	"SYB12_SYSINDEXES"	""
"TABLE"	"SYB12_SYSCONSTRAINTS"	""
"TABLE"	"SS2K5_DATABASES"	""
"TABLE"	"SS2K5_SCHEMATA"	""
"TABLE"	"SS2K5_TABLE_PRIVILEGES"	""
"TABLE"	"SS2K5_CHECK_CONSTRAINTS"	""
"TABLE"	"SS2K5_COLUMNS"	""
"TABLE"	"SS2K5_DATABASE_PRINCIPALS"	""
"TABLE"	"SS2K5_DATABASE_ROLE_MEMBERS"	""
"TABLE"	"SS2K5_FOREIGN_KEY_COLUMNS"	""
"TABLE"	"SS2K5_FOREIGN_KEYS"	""
"TABLE"	"SS2K5_IDENTITY_COLUMNS"	""
"TABLE"	"SS2K5_INDEX_COLUMNS"	""
"TABLE"	"SS2K5_INDEXES"	""
"TABLE"	"SS2K5_OBJECTS"	""
"TABLE"	"SS2K5_SCHEMAS"	""
"TABLE"	"SS2K5_SERVER_PRINCIPALS"	""
"TABLE"	"SS2K5_SQL_MODULES"	""
"TABLE"	"SS2K5_TABLES"	""
"TABLE"	"SS2K5_TYPES"	""
"TABLE"	"SS2K5_DEFAULT_CONSTRAINTS"	""
"TABLE"	"SS2K5_SYSPROPERTIES"	""
"TYPE"	"OBJECTIDLIST"	""
"TYPE"	"NAME_AND_COUNT_T"	""
"TYPE"	"NAME_AND_COUNT_ARRAY"	""
"TYPE"	"NAMELIST"	""
"TYPE"	"MIGR_FILTER"	""
"TYPE"	"MIGR_FILTER_SET"	""
"TYPE"	"MIGR_REPORT_DETAIL_ROW"	""
"TYPE"	"MIGR_REPORT_DETAIL_TABLE"	""
"TYPE"	"MIGR_REPORT_SUM_ROW"	""
"TYPE"	"MIGR_REPORT_SUM_TABLE"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_CHECK"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_INDC"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_INDDET"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_INDEXES"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_PKEYS"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_PROCS"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_TABLES"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_TRIGS"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_VIEWS"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_VDEFNS"	""
"TABLE"	"STAGE_TERADATA_OFFLINE_FKEYS"	""
"TABLE"	"STAGE_TERADATA_LOG"	""
"TABLE"	"STAGE_TERADATA_DATABASES"	""
"TABLE"	"STAGE_TERADATA_TABLES"	""
"TABLE"	"STAGE_TERADATA_COLUMNS"	""
"TABLE"	"STAGE_TERADATA_TABLETEXT"	""
"TABLE"	"STAGE_TERADATA_TRIGGERS"	""
"TABLE"	"STAGE_TERADATA_UDTS"	""
"TABLE"	"STAGE_TERADATA_INDICES"	""
"TABLE"	"STAGE_TERADATA_FKEYS"	""
"TABLE"	"STAGE_TERADATA_IDXCONSTRAINTS"	""
"TABLE"	"STAGE_TERADATA_ALL_RI_PARENTS"	""
"TABLE"	"STAGE_TERADATA_PROCEDURES"	""
"TABLE"	"STAGE_TERADATA_SHOWTBLCHECKS"	""
"TABLE"	"STAGE_TERADATA_JOININDICES"	""
