"IDENTITYKEY"	"USERID"	"DESCRIPTION"	"MODE_"	"STARTTIME"	"ENDTIME"	"TIMETAKEN_SEC"	"TIMEKEY"	"SETID"	"PROC_LOC"	"STATUSFLAG"
1295	"dbcreater"	"UPDATE OVERDUESINCEDT FROM BILL DETAIL TABLE "	"COMPLETE"	30-SEP-23 02.34.32.390000000 PM	30-SEP-23 02.34.32.513000000 PM	0	26936	1	""	""
1296	"dbcreater"	"UPDATE CoverGovGur BILL AT ACCOUNT LEVEL"	"COMPLETE"	30-SEP-23 02.34.32.517000000 PM	30-SEP-23 02.34.32.520000000 PM	0	26936	1	""	""
1297	"dbcreater"	"UPDATE CoverGovGur PC AT ACCOUNT LEVEL"	"COMPLETE"	30-SEP-23 02.34.32.520000000 PM	30-SEP-23 02.34.32.520000000 PM	0	26936	1	""	""
1298	"dbcreater"	"UPDATE CoverGovGur DL AT ACCOUNT LEVEL"	"COMPLETE"	30-SEP-23 02.34.32.520000000 PM	30-SEP-23 02.34.32.520000000 PM	0	26936	1	""	""
1299	"dbcreater"	"UPDATE CoverGovGur CC AT ACCOUNT LEVEL"	"COMPLETE"	30-SEP-23 02.34.32.520000000 PM	30-SEP-23 02.34.32.523000000 PM	0	26936	1	""	""
1300	"dbcreater"	"UPDATE PrvQtrInt,CurQtrInt,CurQtrCredit,PreQtrCredit"	"COMPLETE"	30-SEP-23 02.34.32.523000000 PM	30-SEP-23 02.34.32.533000000 PM	0	26936	1	""	""
1301	"dbcreater"	"UPDATE INTNOTSERVICEDDT IN PRO.ACCOUNTCAL"	"COMPLETE"	30-SEP-23 02.34.32.533000000 PM	30-SEP-23 02.34.32.533000000 PM	0	26936	1	""	""
1302	"dbcreater"	"OVERDUE SINCE DATE IS AVAILABLE BUT OVERDUE AMOUT IS ZERO"	"COMPLETE"	30-SEP-23 02.34.32.533000000 PM	30-SEP-23 02.34.32.537000000 PM	0	26936	1	""	""
1303	"dbcreater"	"Stock statement date Data Preperation"	"COMPLETE"	30-SEP-23 02.34.32.537000000 PM	30-SEP-23 02.34.32.540000000 PM	0	26936	1	""	""
1304	"dbcreater"	"update stock statement date in pro.accountcal"	"COMPLETE"	30-SEP-23 02.34.32.540000000 PM	30-SEP-23 02.34.32.540000000 PM	0	26936	1	""	""
1305	"dbcreater"	"UPDATE DerecognisedInterest1 AMT IN PRO.ACCOUNTCAL"	"COMPLETE"	30-SEP-23 02.34.32.540000000 PM	30-SEP-23 02.34.32.593000000 PM	0	26936	1	""	""
1306	"dbcreater"	"UPDATE DerecognisedInterest2 AMT IN PRO.ACCOUNTCAL"	"COMPLETE"	30-SEP-23 02.34.32.593000000 PM	30-SEP-23 02.34.32.647000000 PM	0	26936	1	""	""
1307	"dbcreater"	"UPDATE GovGurAmt FROM ADVACOTHERDETAIL"	"COMPLETE"	30-SEP-23 02.34.32.647000000 PM	30-SEP-23 02.34.32.647000000 PM	0	26936	1	""	""
1308	"dbcreater"	"UPDATE UnserviedInt FROM AdvAcFinancialDetail"	"COMPLETE"	30-SEP-23 02.34.32.647000000 PM	30-SEP-23 02.34.32.647000000 PM	0	26936	1	""	""
1309	"dbcreater"	"UPDATE FRAUD ACCOUNT MARKING  IN PRO.ACCOUNTCAL"	"COMPLETE"	30-SEP-23 02.34.32.647000000 PM	30-SEP-23 02.34.32.660000000 PM	0	26936	1	""	""
1310	"dbcreater"	"UPDATE FRAUD ACCOUNT MARKING  IN PRO.CustomerCal"	"COMPLETE"	30-SEP-23 02.34.32.660000000 PM	30-SEP-23 02.34.32.663000000 PM	0	26936	1	""	""
1311	"dbcreater"	"UPDATE IBPC MARKING  IN PRO.AccountCal"	"COMPLETE"	30-SEP-23 02.34.32.667000000 PM	30-SEP-23 02.34.32.667000000 PM	0	26936	1	""	""
1312	"dbcreater"	"UPDATE Securitised MARKING  IN PRO.AccountCal"	"COMPLETE"	30-SEP-23 02.34.32.667000000 PM	30-SEP-23 02.34.32.667000000 PM	0	26936	1	""	""
1313	"dbcreater"	"UPDATE PUI MARKING  IN PRO.AccountCal"	"COMPLETE"	30-SEP-23 02.34.32.667000000 PM	30-SEP-23 02.34.32.667000000 PM	0	26936	1	""	""
1314	"dbcreater"	"UPDATE RFA MARKING  IN PRO.AccountCal"	"COMPLETE"	30-SEP-23 02.34.32.667000000 PM	30-SEP-23 02.34.32.677000000 PM	0	26936	1	""	""
1315	"dbcreater"	"UPDATE NonCooperative MARKING  IN PRO.AccountCal"	"COMPLETE"	30-SEP-23 02.34.32.677000000 PM	30-SEP-23 02.34.32.690000000 PM	0	26936	1	""	""
1316	"dbcreater"	"UPDATE Repossessed ACCOUNT MARKING  IN PRO.ACCOUNTCAL"	"COMPLETE"	30-SEP-23 02.34.32.690000000 PM	30-SEP-23 02.34.32.710000000 PM	0	26936	1	""	""
1317	"dbcreater"	"UPDATE Inherent Weakness ACCOUNT MARKING  IN PRO.ACCOUNTCAL"	"COMPLETE"	30-SEP-23 02.34.32.710000000 PM	30-SEP-23 02.34.32.720000000 PM	0	26936	1	""	""
1318	"dbcreater"	"UPDATE SARFAESI ACCOUNT MARKING IN PRO.ACCOUNTCAL"	"COMPLETE"	30-SEP-23 02.34.32.720000000 PM	30-SEP-23 02.34.32.743000000 PM	0	26936	1	""	""
1319	"dbcreater"	"UPDATE RC-Pending MARKING  IN PRO.AccountCal"	"COMPLETE"	30-SEP-23 02.34.32.743000000 PM	30-SEP-23 02.34.32.753000000 PM	0	26936	1	""	""
1320	"dbcreater"	"UPDATE Written-Off Accounts MARKING IN PRO.ACCOUNTCAL"	"COMPLETE"	30-SEP-23 02.34.32.753000000 PM	30-SEP-23 02.34.32.757000000 PM	0	26936	1	""	""
