"ACTIVITY_KEY"	"ACTIVITYALT_KEY"	"ACTIVITYNAME"	"ACTIVITYSHORTNAME"	"ACTIVITYSHORTNAMEENUM"	"ACTIVITYGROUP"	"ACTIVITYSUBGROUP"	"ACTIVITYSEGMENT"	"ACTIVITYVALIDCODE"	"INDUSTRYALT_KEY"	"BSR1ACODE"	"BSR1BCODE"	"FOODPRO"	"ACTIVITYLBRCODE"	"ASSETCLASS"	"BSR3CODE"	"CIBIL_CONSUMERACTYPE"	"COMODITYCODE"	"SECTORLBRCODE"	"SICKINDUSTRYCODE"	"SICKSSIINDALT_KEY"	"ASSETCLASSNORM"	"OTHERASSETS"	"MINORACTIVITY"	"SHGACTIVITY"	"PROD"	"INV"	"NF"	"ACT_TYPE"	"LBRGROUP"	"LBRSUBGROUP"	"LBRCODE"	"ACT_PH"	"CIBILBUSINESSINDUSTRYTYPE"	"SICCODE"	"ACTIVITYSUBGROUPDESCRIPTION"	"INTREST_FREQ"	"SRCSYSACTIVITYCODE"	"SRCSYSACTIVITYCODE1"	"SRCSYSACTIVITYNAME"	"SRCSYSACTIVITYNAME1"	"DESTSYSACTIVITYCODE"	"AUTHORISATIONSTATUS"	"EFFECTIVEFROMTIMEKEY"	"EFFECTIVETOTIMEKEY"	"CREATEDBY"	"DATECREATED"	"MODIFIEDBY"	"DATEMODIFIE"	"APPROVEDBY"	"DATEAPPROVED"	"D2KTIMESTAMP"	"VCI"	"IRBMARK"	"EWSINDUSTRYALT_KEY"	"BSEINDUSTRYALT_KEY"	"EWSKEYSECTORALT_KEY"	"NEWACTIVITYSEGMENT"	"ALLIED_AGR"
2359	8409	"SHIP MAKING-SMALL"	"SHIP-MAKING-SMALL"	"SHIP-MAKING-SMALL"	"MANUFACTURING"	"MANU-MISC"	" "	"N"	31	"35101"	"330"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	""	""		""	"01"	""	"MISCELLANEOUS INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13C3	""	""				" "	"N"
2392	8411	"SCISSOR"	"MANU SCISSOR"	"MANU SCISSOR"	"MANUFACTURING"	"MANU-MISC"	" "	"N"	31	"28901"	"310"		""	""	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	""	""		""	"11"	""	"MISCELLANEOUS INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13C4	""	""				" "	"N"
242	2573	"OTHER SPICES"	"OTH SPICE"	"OTH SPICE"	"AGRICULTURE"	"PLANTATION"	"CASH CROP"	"N"		"01127"	"110"		""	"NORMAL"	""	""	"017"	""	""	95	"AGRI"	"E"	"E"	"E"	"E"	"C"	"E"	"PD-AG"	"PLANTATION/HORTICULTURE"	"SPICES"	28	""	"09"	""	"AGRICULTURE-PLANTATION"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13C5	""	""				"FARM-CREDIT"	"N"
43	1515	"COLD STORAGE/WAREHOUE FOR OWN PRODUCE"	"COLD STOR OWN PROD"	"COLD STOR OWN PROD"	"AGRICULTURE"	"AGR-OTH"	" "	"N"		"01181"	"199"		""	"NORMAL"	""	""	""	""	""		"AGRI"	"E"	"E"	"E"	"E"	"E"	"E"	"IV-AG"	"STORAGE & MARKET YARDS"	"COLD STORAGE UNITS"	56	""	"09"	""	"AGRICULTURE STORAGE"	""	""	""	""	""	""	""	1900	49999	""		"D2K"		""		00000000000F13C6	""	""				" "	"N"
1471	8430	"CUTING/SHAPING STONE"	"CUTING-SHAPING-STONE"	"CUTING-SHAPING-STONE"	"MANUFACTURING"	"MANU-MISC"	" "	"N"	31	"26904"	"340"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"MISCELLANEOUS"	79	""	"01"	""	"MISCELLANEOUS INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13C7	""	""				" "	"N"
1384	8021	"FANS & ELECTRICAL APPARATUS"	"FANS-ELECTRIC-APP"	"FANS-ELECTRIC-APP"	"MANUFACTURING"	"ELECTRIC"	" "	"N"	6	"29301"	"321"		""	"NORMAL"	""	""	"711"	""	""	15	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"MISCELLANEOUS"	79	""	"01"	""	"ELECTRICAL INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13C8	""	""				" "	"N"
2123	3435	"HOUSING LOAN TO FARMERS"	"FARMERHLOAN"	"FARMERHLOAN"	"HOUSING"	"HOUSING"	" "	"Y"		"95011"	"871"		""	"NORMAL"	""	"02"	"999"	""	""	95	"AGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"HOUSING LOANS"	77	""	"11"	""	"HOUSING-DIRECT"	""	"3435"	""	"HOUSING LOAN TO FARMERS"	""	""	""	1400	49999	""		""		""		00000000000F13C9	""	""				" "	"N"
123	2330	"HARVESTING & RELATED ACTIVITIES"	"HARVSTNG ACTIVITIES"	"HARVSTNG ACTIVITIES"	"AGRICULTURE"	"OTH-ALLIED"	" "	"N"		"01157"	"120"		""	"NORMAL"	""	""	"999"	""	""		"NONAGRI"	""	""	""	""	""	""	""	""	""		""	"09"	""	"AGRICULTURE-OTHERS"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13CA	""	""				"FARM-CREDIT"	"N"
3101	3903	"PRIORITY SECTOR OTHERS"	"PRIORITY-SECT-OTH"	"PRIORITY-SECT-OTH"	"OPS"	"OPS"	" "	"Y"		"93001"	""		""	""	""	"00"	"999"	""	""		"NONAGRI"	""	""	""	""	""	""	""	""	""		""	"11"	""	"OTHER PRIORITY SECTOR"	""	"3903"	""	"PRIORITY SECTOR OTHERS"	""	""	""	3287	49999	"D2K"	11-AUG-14	""		""		00000000000F13CB	""	""				" "	"N"
431	4020	"AUTOMOBILES - USED VEHICLES"	"AUTO-USED-VEH-RTL"	"AUTO-USED-VEH-RTL"	"TRADING"	"RTL"	" "	"Y"		"50001"	"520"		""	"NORMAL"	""	"00"	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	"4020"	""	"R-TRAD.-AUTOMOBILES-USED VEHICLES"	""	""	""	1400	49999	""		""		""		00000000000F13CC	""	""				" "	"N"
